"TS","Year","Month","DayOfMon","DayOfYear","Hour","Minute","WndSpd_10m_Max"
"2020-10-27 05:58:00","2020","10","27","301","5","58","1.797"
"2020-10-27 05:59:00","2020","10","27","301","5","59","1.307"
"2020-10-27 06:00:00","2020","10","27","301","6","0","1.797"
"2020-10-27 06:01:00","2020","10","27","301","6","1","1.862"
"2020-10-27 06:02:00","2020","10","27","301","6","2","1.895"
"2020-10-27 06:03:00","2020","10","27","301","6","3","1.601"
"2020-10-27 06:04:00","2020","10","27","301","6","4","1.797"
"2020-10-27 06:05:00","2020","10","27","301","6","5","1.797"
"2020-10-27 06:06:00","2020","10","27","301","6","6","1.568"
"2020-10-27 06:07:00","2020","10","27","301","6","7","1.437"
"2020-10-27 06:08:00","2020","10","27","301","6","8","1.666"
"2020-10-27 06:09:00","2020","10","27","301","6","9","1.503"
"2020-10-27 06:10:00","2020","10","27","301","6","10","1.503"
"2020-10-27 06:11:00","2020","10","27","301","6","11","1.405"
"2020-10-27 06:12:00","2020","10","27","301","6","12","1.797"
"2020-10-27 06:13:00","2020","10","27","301","6","13","1.927"
"2020-10-27 06:14:00","2020","10","27","301","6","14","1.666"
"2020-10-27 06:15:00","2020","10","27","301","6","15","1.372"
"2020-10-27 06:16:00","2020","10","27","301","6","16","1.731"
"2020-10-27 06:17:00","2020","10","27","301","6","17","1.862"
"2020-10-27 06:18:00","2020","10","27","301","6","18","1.405"
"2020-10-27 06:19:00","2020","10","27","301","6","19","1.666"
"2020-10-27 06:20:00","2020","10","27","301","6","20","1.209"
"2020-10-27 06:21:00","2020","10","27","301","6","21","1.209"
"2020-10-27 06:22:00","2020","10","27","301","6","22","0.882"
"2020-10-27 06:23:00","2020","10","27","301","6","23","1.078"
"2020-10-27 06:24:00","2020","10","27","301","6","24","0.817"
"2020-10-27 06:25:00","2020","10","27","301","6","25","1.307"
"2020-10-27 06:26:00","2020","10","27","301","6","26","1.731"
"2020-10-27 06:27:00","2020","10","27","301","6","27","1.666"
"2020-10-27 06:28:00","2020","10","27","301","6","28","1.699"
"2020-10-27 06:29:00","2020","10","27","301","6","29","1.568"
"2020-10-27 06:30:00","2020","10","27","301","6","30","1.307"
"2020-10-27 06:31:00","2020","10","27","301","6","31","1.96"
"2020-10-27 06:32:00","2020","10","27","301","6","32","1.829"
"2020-10-27 06:33:00","2020","10","27","301","6","33","2.45"
"2020-10-27 06:34:00","2020","10","27","301","6","34","2.221"
"2020-10-27 06:35:00","2020","10","27","301","6","35","2.45"
"2020-10-27 06:36:00","2020","10","27","301","6","36","2.189"
"2020-10-27 06:37:00","2020","10","27","301","6","37","1.96"
"2020-10-27 06:38:00","2020","10","27","301","6","38","2.156"
"2020-10-27 06:39:00","2020","10","27","301","6","39","2.319"
"2020-10-27 06:40:00","2020","10","27","301","6","40","1.405"
"2020-10-27 06:41:00","2020","10","27","301","6","41","2.287"
"2020-10-27 06:42:00","2020","10","27","301","6","42","2.646"
"2020-10-27 06:43:00","2020","10","27","301","6","43","2.515"
"2020-10-27 06:44:00","2020","10","27","301","6","44","2.875"
"2020-10-27 06:45:00","2020","10","27","301","6","45","2.646"
"2020-10-27 06:46:00","2020","10","27","301","6","46","2.973"
"2020-10-27 06:47:00","2020","10","27","301","6","47","2.94"
"2020-10-27 06:48:00","2020","10","27","301","6","48","2.842"
"2020-10-27 06:49:00","2020","10","27","301","6","49","2.646"
"2020-10-27 06:50:00","2020","10","27","301","6","50","3.103"
"2020-10-27 06:51:00","2020","10","27","301","6","51","2.483"
"2020-10-27 06:52:00","2020","10","27","301","6","52","2.385"
"2020-10-27 06:53:00","2020","10","27","301","6","53","2.352"
"2020-10-27 06:54:00","2020","10","27","301","6","54","2.45"
"2020-10-27 06:55:00","2020","10","27","301","6","55","2.254"
"2020-10-27 06:56:00","2020","10","27","301","6","56","3.267"
"2020-10-27 06:57:00","2020","10","27","301","6","57","3.43"
"2020-10-27 06:58:00","2020","10","27","301","6","58","3.103"
"2020-10-27 06:59:00","2020","10","27","301","6","59","2.711"
"2020-10-27 07:00:00","2020","10","27","301","7","0","2.875"
"2020-10-27 07:01:00","2020","10","27","301","7","1","3.201"
"2020-10-27 07:02:00","2020","10","27","301","7","2","2.777"
"2020-10-27 07:03:00","2020","10","27","301","7","3","2.254"
"2020-10-27 07:04:00","2020","10","27","301","7","4","2.091"
"2020-10-27 07:05:00","2020","10","27","301","7","5","1.927"
"2020-10-27 07:06:00","2020","10","27","301","7","6","2.091"
"2020-10-27 07:07:00","2020","10","27","301","7","7","1.568"
"2020-10-27 07:08:00","2020","10","27","301","7","8","2.156"
"2020-10-27 07:09:00","2020","10","27","301","7","9","2.417"
