"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.776104643E0,-3.220800018E1,-4.440800095E1,-2.044719887E1
3.786104643E0,-3.232999802E1,-4.373699951E1,-2.094739914E1
3.796104643E0,-3.253739929E1,-4.293180084E1,-2.143540001E1
3.806104643E0,-3.268379974E1,-4.209000015E1,-2.199659920E1
3.816104643E0,-3.289120102E1,-4.132139969E1,-2.246019936E1
3.826104643E0,-3.315959930E1,-4.050399780E1,-2.288719940E1
3.836104643E0,-3.340359879E1,-3.978419876E1,-2.326539993E1
3.846104643E0,-3.361100006E1,-3.899119949E1,-2.364360046E1
3.856104643E0,-3.386719894E1,-3.816159821E1,-2.388759995E1
3.866104643E0,-3.411119843E1,-3.739299774E1,-2.420479965E1
3.876104643E0,-3.428199768E1,-3.672200012E1,-2.446100044E1
3.886104643E0,-3.448939896E1,-3.594120026E1,-2.471719933E1
3.896104643E0,-3.474559784E1,-3.513599777E1,-2.492459869E1
3.906104643E0,-3.495299911E1,-3.429420090E1,-2.519299889E1
3.916104643E0,-3.519699860E1,-3.348899841E1,-2.535159874E1
3.926104643E0,-3.544099808E1,-3.264719772E1,-2.547360039E1
3.936104643E0,-3.561180115E1,-3.187859917E1,-2.569319916E1
3.946104643E0,-3.583139801E1,-3.107339859E1,-2.577859879E1
3.956104643E0,-3.605099869E1,-3.021939850E1,-2.592499924E1
3.966104643E0,-3.627059937E1,-2.957279968E1,-2.594939995E1
3.976104643E0,-3.642919922E1,-2.891399956E1,-2.599819946E1
3.986104643E0,-3.658779907E1,-2.826739883E1,-2.596159935E1
3.996104643E0,-3.674639893E1,-2.766959953E1,-2.599819946E1
4.006104643E0,-3.688059998E1,-2.716939926E1,-2.603479958E1
4.016104643E0,-3.700259781E1,-2.675459862E1,-2.599819946E1
4.026104643E0,-3.712459946E1,-2.631539917E1,-2.598600006E1
4.036104643E0,-3.717340088E1,-2.594939995E1,-2.597379875E1
4.046104643E0,-3.725880051E1,-2.559560013E1,-2.601039886E1
4.056104643E0,-3.730759811E1,-2.525399971E1,-2.604699898E1
4.066104643E0,-3.728319931E1,-2.513199997E1,-2.610799980E1
4.076104643E0,-3.728319931E1,-2.493680000E1,-2.618120003E1
4.086104643E0,-3.723439789E1,-2.477820015E1,-2.625440025E1
4.096104643E0,-3.723439789E1,-2.457079887E1,-2.637639999E1
