"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.813500600E-1,-1.436521020E-2,8.816647530E-1,1.028130054E1
7.833628200E-1,4.788403399E-3,9.103952050E-1,1.026693535E1
7.853757890E-1,0.000000000E0,9.199720025E-1,1.026693535E1
7.873885490E-1,2.394201607E-2,9.056068063E-1,1.021905136E1
7.894001120E-1,4.788403399E-3,9.008184075E-1,1.016159058E1
7.914116740E-1,0.000000000E0,8.720879555E-1,1.009934139E1
7.934234970E-1,0.000000000E0,8.625111580E-1,1.003230381E1
7.954355810E-1,9.576806799E-3,8.385691643E-1,9.970054626E0
7.974477160E-1,2.873042040E-2,7.906851172E-1,9.960477829E0
7.994600600E-1,3.351882473E-2,7.858967185E-1,9.936535835E0
8.014724030E-1,4.788403213E-2,7.811083198E-1,9.922170639E0
8.034849560E-1,4.309562966E-2,7.619546652E-1,9.888651848E0
8.054977160E-1,4.788403213E-2,7.667431235E-1,9.845556259E0
8.075104760E-1,4.309562966E-2,7.763199210E-1,9.816825867E0
8.095233410E-1,3.830722719E-2,7.858967185E-1,9.749788284E0
8.115341220E-1,3.830722719E-2,7.906851172E-1,9.721057892E0
8.135451640E-1,3.351882473E-2,8.194155097E-1,9.649230957E0
8.155564660E-1,4.788403213E-2,8.337807655E-1,9.596558571E0
8.175679240E-1,6.224924326E-2,8.433575630E-1,9.572616577E0
8.195796950E-1,9.097966552E-2,8.960300088E-1,9.567828178E0
8.215915700E-1,1.053448766E-1,9.295488000E-1,9.558251381E0
8.236037580E-1,1.005564705E-1,9.439139962E-1,9.524134636E0
8.256162580E-1,9.576806426E-2,9.487023950E-1,9.500192642E0
8.276288620E-1,1.005564705E-1,9.870096445E-1,9.500192642E0
8.296417260E-1,1.053448766E-1,9.965864420E-1,9.504981041E0
8.316545910E-1,1.101332754E-1,1.030105233E0,9.514557838E0
8.336676640E-1,1.197100878E-1,1.030105233E0,9.524134636E0
