"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.284324030E-1,-5.986609459E-1,-3.671059310E-1,-5.202331543E-1
6.304453720E-1,-5.858781338E-1,-3.617797792E-1,-5.255593657E-1
6.324583410E-1,-5.752258301E-1,-3.521926701E-1,-5.308855176E-1
6.344696950E-1,-5.667039752E-1,-3.415403366E-1,-5.351464152E-1
6.364778200E-1,-5.571168661E-1,-3.362141848E-1,-5.415378213E-1
6.384863100E-1,-5.496602654E-1,-3.330184817E-1,-5.447335243E-1
6.404952160E-1,-5.411383510E-1,-3.308880031E-1,-5.500596762E-1
6.425044870E-1,-5.358121991E-1,-3.255618513E-1,-5.511249304E-1
6.445143830E-1,-5.294207931E-1,-3.223661482E-1,-5.511249304E-1
6.465248510E-1,-5.240946412E-1,-3.138442934E-1,-5.511249304E-1
6.485361010E-1,-5.198337436E-1,-3.042571843E-1,-5.511249304E-1
6.505481330E-1,-5.177032351E-1,-2.957353294E-1,-5.489944816E-1
6.525608930E-1,-5.134423375E-1,-2.861482203E-1,-5.447335243E-1
6.545743310E-1,-5.102466345E-1,-2.829525173E-1,-5.426030755E-1
6.565882370E-1,-5.091813803E-1,-2.776263654E-1,-5.362116694E-1
6.586026640E-1,-5.059856772E-1,-2.637783289E-1,-5.319507122E-1
6.606175080E-1,-5.059856772E-1,-2.541912198E-1,-5.266245604E-1
6.626326640E-1,-5.027899742E-1,-2.392779738E-1,-5.223636627E-1
6.646479760E-1,-4.995943010E-1,-2.243647128E-1,-5.149070024E-1
6.666596950E-1,-4.942681193E-1,-2.179733068E-1,-5.063851476E-1
6.686716220E-1,-4.932028949E-1,-2.062557489E-1,-4.999937415E-1
6.706837580E-1,-4.889419675E-1,-1.934729517E-1,-4.936023653E-1
6.726958410E-1,-4.868114889E-1,-1.817553788E-1,-4.840152562E-1
6.747080810E-1,-4.804200828E-1,-1.679073572E-1,-4.765586257E-1
6.767200080E-1,-4.782896340E-1,-1.593854874E-1,-4.691019952E-1
6.787321430E-1,-4.804200828E-1,-1.519288570E-1,-4.584496617E-1
6.807444350E-1,-4.750939310E-1,-1.444722265E-1,-4.499278069E-1
6.827569350E-1,-4.718982279E-1,-1.370155960E-1,-4.424711764E-1
6.847695910E-1,-4.697677493E-1,-1.316894293E-1,-4.328840673E-1
6.867806850E-1,-4.633763731E-1,-1.295589656E-1,-4.254274368E-1
6.887920390E-1,-4.591154456E-1,-1.157109365E-1,-4.179708064E-1
6.908034450E-1,-4.548544884E-1,-1.135804728E-1,-4.105141759E-1
6.928151120E-1,-4.495283365E-1,-1.050586104E-1,-4.030575454E-1
6.948270390E-1,-4.452674091E-1,-9.866721183E-2,-3.966661394E-1
6.968390700E-1,-4.388760030E-1,-9.227581322E-2,-3.902747631E-1
6.988514140E-1,-4.303541481E-1,-8.481918275E-2,-3.828181326E-1
7.008640180E-1,-4.260932207E-1,-8.055824786E-2,-3.753614724E-1
7.028768830E-1,-4.175713360E-1,-7.310161740E-2,-3.679048419E-1
7.048899030E-1,-4.090494812E-1,-6.777545065E-2,-3.604482114E-1
7.069029240E-1,-4.015928507E-1,-6.138405204E-2,-3.540568352E-1
7.089161010E-1,-3.952014446E-1,-5.392742157E-2,-3.444697261E-1
7.109293310E-1,-3.834838867E-1,-4.434032366E-2,-3.359478712E-1
7.129426120E-1,-3.781577349E-1,-3.049229458E-2,-3.263607621E-1
7.149554760E-1,-3.664401472E-1,-1.557903271E-2,-3.157084286E-1
7.169636010E-1,-3.579182923E-1,-6.657706108E-4,-3.071865737E-1
7.189720390E-1,-3.483312130E-1,1.424749196E-2,-2.986647189E-1
7.209808930E-1,-3.387441039E-1,2.916075476E-2,-2.901428342E-1
7.229903720E-1,-3.270265460E-1,4.194355011E-2,-2.805557549E-1
7.250004760E-1,-3.163742125E-1,5.685681105E-2,-2.720338702E-1
